ap_orig,ap_dest,enmu_base,enmu_nec,ours_current,unreached_current,ours_base,unreached_base,ours_nec,unreached_nec
5300108005006,5300108005045,64.52987373679078,66.1433248915839,100.85536809350484,0.015069176146722207,100.85536809350484,0.015069176146722207,100.8168310650493,0.015069176146722207
5300108005006,5300108005047,27.5966858800399,26.717732134088777,61.01655463391294,0.02601991906403578,61.01655463391294,0.02601991906403578,60.988069827993186,0.02601991906403578
5300108005005,5300108005006,8.139547878026336,8.096766916308994,35.69778314308576,0.0,35.69778314308576,0.0,35.69778314308576,0.0
5300108005005,5300108005005,3.9842556469190398,3.9842109779372263,19.66377825844412,0.0,19.66377825844412,0.0,19.66377825844412,0.0
5300108005005,5300108005040,33.87327363722657,33.46407230818483,61.38410126334762,0.0,61.38410126334762,0.0,57.8537319805677,0.0
5300108005005,5300108005041,20.32674427718815,20.180256671814746,46.03825211351355,0.0,46.03825211351355,0.0,41.635296510002824,0.0
5300108005005,5300108005045,69.50448923577257,68.38895051182075,96.9607793664812,0.014781929079859313,96.9607793664812,0.014781929079859313,96.90452424330933,0.014781929079859313
5300108005005,5300108005047,30.75708156084515,27.87753146318907,59.71413311442599,0.034570243530146816,59.71413311442599,0.034570243530146816,59.71413311442599,0.034570243530146816
5300108005040,5300108005006,37.36365567167886,34.646504049844204,64.33748931958021,0.0,64.33748931958021,0.0,62.9835965679727,0.0
5300108005040,5300108005005,36.51625227483901,36.53030631858466,56.62155426713828,0.0,56.62155426713828,0.0,55.31607297767271,0.0
5300108005040,5300108005040,7.687538877218695,7.681449555542804,25.31112516451362,0.0,25.31112516451362,0.0,25.31112516451362,0.0
5300108005040,5300108005041,12.667546208747291,12.714725231359079,33.95058841329843,0.0,33.95058841329843,0.0,33.916421073427436,0.0
5300108005040,5300108005045,73.12269359782654,68.99719970846078,89.94700252123565,0.013630677703337923,89.94700252123565,0.013630677703337923,89.91330703896361,0.013630677703337923
5300108005040,5300108005047,60.36262987148889,29.562949232957603,67.00866372419334,0.033457016024024955,67.00866372419334,0.033457016024024955,63.571572533804236,0.033457016024024955
5300108005041,5300108005006,31.198266469193992,30.049948925992013,56.365014668859736,0.0,56.365014668859736,0.0,53.827731868947815,0.0
5300108005041,5300108005005,27.496187816850508,27.384671411667654,41.19505125430393,0.0,41.19505125430393,0.0,39.84761460100842,0.0
5300108005041,5300108005040,14.059705042036713,13.174038232978875,34.559157195006705,0.0,34.559157195006705,0.0,34.49844741779175,0.0
5300108005041,5300108005041,11.438509193808148,10.913892068301886,19.869374657429837,0.0,19.869374657429837,0.0,19.775040642191954,0.0
5300108005041,5300108005045,104.55578080637537,92.93816725320605,101.57266730158294,0.013672133091841787,101.57266730158294,0.013672133091841787,101.47557699324418,0.013672133091841787
5300108005041,5300108005047,74.56742602552956,37.55221902919158,73.89956960708649,0.040402687509573876,73.89956960708649,0.040402687509573876,67.54357967278388,0.040402687509573876
5300108005045,5300108005006,62.44136395885415,57.926794487742534,102.74314051657053,0.0061618249433254,102.74314051657053,0.0061618249433254,102.62276960329216,0.0061618249433254
5300108005045,5300108005005,65.8163288541352,60.63086768684759,100.1049474303359,0.0,100.1049474303359,0.0,100.01004128901282,0.0
5300108005045,5300108005040,59.56334986026367,55.63064507918062,90.74221682041193,0.0,90.74221682041193,0.0,90.6155364158655,0.0
5300108005045,5300108005041,71.95125017567229,70.13661940762363,99.48843443331886,0.0,99.48843443331886,0.0,99.24913569514891,0.0
5300108005045,5300108005045,40.32297704058568,39.54146211158885,76.86855367394658,0.007956809453941838,76.86855367394658,0.007956809453941838,76.79381339042303,0.007956809453941838
5300108005045,5300108005047,71.09654560912226,58.81843086963277,92.90379525215334,0.030772892172637123,92.90379525215334,0.030772892172637123,92.40033056700346,0.030772892172637123
5300108005047,5300108005006,37.14799268571501,36.62237016783168,61.340138065416596,0.0024500058430576566,61.340138065416596,0.0024500058430576566,61.242501333204416,0.0024500058430576566
5300108005047,5300108005005,37.17764533948474,36.60253212172625,61.47775302632165,0.0,61.47775302632165,0.0,61.47775302632165,0.0
5300108005047,5300108005040,41.448114850835516,29.9283654484852,66.21677398861584,0.0,66.21677398861584,0.0,64.75603225686991,0.0
5300108005047,5300108005041,52.08068023426505,39.02723837497802,72.71350955989536,0.0,72.71350955989536,0.0,69.41473851384308,0.0
5300108005047,5300108005045,83.12589351056629,63.28604381265758,96.09144352628752,0.015046555986460763,96.09144352628752,0.015046555986460763,96.04388496003348,0.015046555986460763
5300108005047,5300108005047,13.388196320976814,13.331265337971072,28.60956292107594,0.0,28.60956292107594,0.0,28.481090213707596,0.0
5300108005021,5300108005006,53.60688310257336,51.17785290518882,77.10177268935702,0.007316882023396198,77.10177268935702,0.007316882023396198,77.10177268935702,0.007316882023396198
5300108005021,5300108005005,51.69930100426412,50.04662436100792,76.46450682441406,0.0,76.46450682441406,0.0,76.46450682441406,0.0
5300108005021,5300108005040,45.63774795278431,43.25617739230814,66.90746775878333,0.0,66.90746775878333,0.0,66.90746775878333,0.0
5300108005021,5300108005041,60.849307825821555,54.20208513525593,75.81265802595298,0.0,75.81265802595298,0.0,75.75877340037916,0.0
5300108005021,5300108005045,63.70748760666201,57.45006140930439,70.90484038994795,0.0014394502016640276,70.90484038994795,0.0014394502016640276,70.84229762883642,0.0014394502016640276
5300108005021,5300108005047,33.59984200338454,25.156191860279648,55.358114222391464,0.0,55.35877793731945,0.0,55.03569556784065,0.0
5300108005033,5300108005006,56.17387270175861,57.82013630057975,87.66597047356547,0.007316882023396198,87.68440371221945,0.007316882023396198,87.45850292505209,0.007316882023396198
5300108005033,5300108005005,57.895711645427276,58.14387419566502,87.17636583868149,0.0,87.1330517427703,0.0,87.1322822312846,0.0
5300108005033,5300108005040,49.76619878851364,50.03358029785787,77.854156854862,0.0,77.68983670385998,0.0,77.64952713656221,0.0
5300108005033,5300108005041,64.01761672999004,62.97496600769958,86.05244394244419,0.0,86.02990504964716,0.0,85.91241437910132,0.0
5300108005033,5300108005045,47.76356391615891,47.4160983487912,79.35708459480553,0.004748652621312632,79.37538057121132,0.004748652621312632,79.36323258288154,0.004748652621312632
5300108005033,5300108005047,44.96520800179843,36.7706162133601,65.71528712555812,0.005991583522672261,66.60440601952996,0.005991583522672261,64.6882579038345,0.005991583522672261
5300108005032,5300108005006,66.7764490249396,66.81663519768978,93.23182371384716,0.007316882023396198,93.30957751764547,0.007316882023396198,92.67214615621526,0.007316882023396198
5300108005032,5300108005005,67.25629098899837,66.53585025252234,92.0106237311206,0.0,91.80030007883373,0.0,91.73881914778875,0.0
5300108005032,5300108005040,56.12815336573584,55.64010311141095,83.4496937509743,0.0,83.32257341152616,0.0,83.40885932679137,0.0
5300108005032,5300108005041,75.54319942128365,73.31210200936059,92.3683974633812,0.0,92.30327781342908,0.0,92.27337210237472,0.0
5300108005032,5300108005045,42.600212241099044,42.032785327153334,82.25487958040831,0.013762992994768686,82.28832519495035,0.013762992994768686,82.29427076535312,0.013762992994768686
5300108005032,5300108005047,40.53480491890675,40.03715889041695,63.44779643421072,0.04025446518959408,64.38095250005182,0.04025446518959408,62.60763959074824,0.04025446518959408
5300108005004,5300108005006,12.474471841402929,12.424036005387977,32.54805053456273,0.0,32.54805053456273,0.0,32.54805053456273,0.0
5300108005004,5300108005005,10.032755753926992,10.022814562963159,23.28178115380392,0.0,23.28178115380392,0.0,23.233351632800428,0.0
5300108005004,5300108005040,34.066517639430366,33.98998032438564,62.23444535780842,0.0,62.23444535780842,0.0,58.3697974281835,0.0
5300108005004,5300108005041,23.850251682468024,23.768395929327557,44.94887118827526,0.0,44.94887118827526,0.0,40.06504894212159,0.0
