processing_acps,policy_config,interest_housing,policy_melhorias,seed,delta_gini_periphery,delta_house_values_periphery,delta_median_affordability_periphery,total_pop,n_municipalities
GOIANIA,low_inactive,low,False,1,0.0012913772308955987,-0.6279931882359773,-0.0008980695690391764,8491.233333333334,6
GOIANIA,low_inactive,low,False,2,0.01763275520706058,-0.5527240756328169,0.00021829771686442614,8593.566666666668,6
GOIANIA,low_inactive,low,False,3,-0.008085255674499883,0.8943951182540072,-0.0003947457400853919,8302.983333333334,6
GOIANIA,low_inactive,low,False,4,0.007423019731023558,-6.0522177140216264,-0.003463526219707369,8643.466666666665,6
GOIANIA,low_inactive,low,False,5,-0.007922279612483709,-12.516021841230543,-7.15577425030109e-05,8415.416666666666,6
GOIANIA,low_inactive,low,False,6,-0.000388126122197075,-0.6310680203487388,0.0019495925873783426,8713.066666666668,6
GOIANIA,low_inactive,low,False,7,0.0028282071008355406,-6.303022748242759,0.001460553015392409,8493.366666666667,6
GOIANIA,low_inactive,low,False,8,0.007580254047517952,1.319751493629854,0.0031933780415988496,8283.883333333333,6
GOIANIA,low_inactive,low,False,9,-0.0012743533509168912,-3.9519219416330618,-0.00018226371184995943,8271.616666666667,6
GOIANIA,medium_active,medium,True,0,0.006502975384757549,1.4946264968597214,-0.005478419498768878,8296.35,6
GOIANIA,medium_active,medium,True,1,-0.0010970289946101589,12.710508589447164,0.009738599601680688,8491.233333333334,6
GOIANIA,medium_active,medium,True,2,0.022069641401642835,14.072947427015801,0.006405609669022444,8593.566666666668,6
GOIANIA,medium_active,medium,True,3,-0.0053912882317399945,2.0747142397612093,-0.001177245126049067,8302.983333333334,6
GOIANIA,medium_active,medium,True,4,-0.0031371258188586846,-5.598790758466244,-0.002882045469056909,8643.466666666665,6
GOIANIA,medium_active,medium,True,5,-0.0038416202538330744,-8.057359158554913,-0.002382390964697727,8415.416666666666,6
GOIANIA,medium_active,medium,True,6,0.0019422119524188635,2.571781200234394,0.0009122158195991712,8713.066666666668,6
GOIANIA,medium_active,medium,True,7,-0.019212556413305534,-4.198823441855937,0.0009519095837208851,8493.366666666667,6
GOIANIA,medium_active,medium,True,8,0.002635606703511957,-10.268006728225297,-0.0025298792789412365,8283.883333333333,6
GOIANIA,medium_active,medium,True,9,0.003119327153565968,-7.411524398562402,0.004771370304945086,8271.616666666667,6
JOAO PESSOA,high_active,high,True,0,0.020406379979118715,6.778773278453992,-0.004155140841824597,3362.9333333333334,3
JOAO PESSOA,high_active,high,True,1,0.05202806138686372,-29.513358134092357,0.00026766273810713135,3337.6666666666665,3
JOAO PESSOA,high_active,high,True,2,0.016007039958580997,-11.05534115247041,-0.0017847639630355024,3412.2833333333333,3
JOAO PESSOA,high_active,high,True,3,-0.0008488182139777133,18.014018079404135,0.00477737734965823,3407.883333333333,3
JOAO PESSOA,high_active,high,True,4,-0.006217906468255665,-9.080548211971628,-0.004506863280058117,3433.95,3
JOAO PESSOA,high_active,high,True,5,-0.005393843815142165,-17.482479346236584,-0.0028056982084183942,3339.383333333333,3
JOAO PESSOA,high_active,high,True,6,0.011425662607986064,4.053214842152362,0.00010244775653839448,3376.85,3
JOAO PESSOA,high_active,high,True,7,-3.143276552293367e-05,-6.405032231473337,-0.001560721779277152,3356.95,3
JOAO PESSOA,high_active,high,True,8,-0.018562127154705284,5.349830966233634,0.0003822223118029789,3408.883333333333,3
JOAO PESSOA,high_active,high,True,9,-0.010551614632150907,7.682789026369958,0.00019207589896832845,3449.633333333333,3
JOAO PESSOA,high_inactive,high,False,0,0.01027484710768374,0.06614527462796811,-0.0038437283806465297,3362.9333333333334,3
JOAO PESSOA,high_inactive,high,False,1,0.028922043776423993,-19.814581477079816,-0.007679492007057497,3337.6666666666665,3
JOAO PESSOA,high_inactive,high,False,2,0.009961034318825284,-7.8631948712250415,0.004781999715895676,3412.2833333333333,3
JOAO PESSOA,high_inactive,high,False,3,0.011861000091291585,-6.462711855354996,-6.799524493045895e-05,3407.883333333333,3
JOAO PESSOA,high_inactive,high,False,4,-0.011213599515297382,9.449494028095286,0.004363405098517906,3433.95,3
JOAO PESSOA,high_inactive,high,False,5,-0.0136206620982916,-11.645007092127777,-0.0038866102339254346,3339.383333333333,3
JOAO PESSOA,high_inactive,high,False,6,-0.0011991699282533138,-4.420912200719616,0.0036604163136091613,3376.85,3
JOAO PESSOA,high_inactive,high,False,7,-0.011181140693188738,-2.14157849602234,0.0027595296168314233,3356.95,3
JOAO PESSOA,high_inactive,high,False,8,-0.009270996163618296,-5.450663388793016,-0.001634514600007492,3408.883333333333,3
