cod_ibge,ano,recursos_fgts,recursos_sbpe
110170,2018,98182.24,196364.48
110170,2019,167653.56000000003,335307.12000000005
110170,2020,89699.95999999999,179399.91999999998
110170,2021,338443.04000000004,676886.0800000001
110170,2022,118399.28,236798.56
110170,2023,1005643.64,2011287.28
110170,2024,1936903.04,3873806.08
110170,2025,446371.52,892743.04
110175,2013,79063.95999999999,158127.91999999998
110175,2020,83999.96,167999.92
110180,2009,42012.0,84024.0
110180,2010,40140.0,80280.0
110180,2011,36000.0,72000.0
110180,2012,72451.96,144903.92
110180,2013,449386.04,898772.08
110180,2014,310399.72,620799.44
110180,2015,270853.64,541707.28
110180,2016,174843.91999999998,349687.83999999997
110180,2018,19242.36,38484.72
110180,2021,65615.64,131231.28
110180,2024,0.0,0.0
120001,2009,68544.0,137088.0
120001,2010,55016.0,110032.0
120001,2011,15508.0,31016.0
120001,2012,0.0,0.0
120001,2013,48326.16,96652.32
120001,2016,63999.96000000001,127999.92000000001
120001,2017,0.0,0.0
120001,2019,52968.88,105937.76
120001,2021,91409.12,182818.24
120005,2010,40140.0,80280.0
120005,2013,169362.91999999998,338725.83999999997
120005,2014,97367.96,194735.92
120005,2015,102035.96,204071.92
120010,2009,80280.0,160560.0
120010,2010,80280.0,160560.0
120010,2012,72824.16,145648.32
120010,2013,122166.2,244332.4
120010,2014,259160.2,518320.4
120010,2015,77259.95999999999,154519.91999999998
120010,2017,0.0,0.0
120013,2009,38208.0,76416.0
120013,2010,44288.0,88576.0
120013,2012,68723.0,137446.0
120013,2013,218609.4,437218.8
120013,2014,703037.12,1406074.24
120013,2015,246309.76,492619.52
120013,2017,123010.8,246021.6
120013,2018,0.0,0.0
120013,2019,158385.28,316770.56
120013,2023,0.0,0.0
120017,2009,75772.0,151544.0
120017,2011,0.0,0.0
120017,2014,0.0,0.0
120020,2009,1693163.2,3386326.4
120020,2010,1223200.0,2446400.0
120020,2011,129362.4,258724.8
120020,2012,393437.6,786875.2
120020,2013,931851.2,1863702.4
120020,2014,641078.6,1282157.2
120020,2015,386614.88000000006,773229.7600000001
120020,2016,235781.28,471562.56
120020,2017,159845.44,319690.88
120020,2018,258799.16,517598.32
120020,2019,74887.8,149775.6
120020,2020,180060.76,360121.52
120020,2021,0.0,0.0
120020,2022,0.0,0.0
120020,2023,4524.0,9048.0
120020,2024,1000.0,2000.0
120020,2025,0.0,0.0
120025,2010,136948.0,273896.0
120025,2011,44164.0,88328.0
120025,2012,119731.28,239462.56
120025,2013,446341.88,892683.76
120025,2014,283878.0,567756.0
120025,2015,0.0,0.0
120025,2017,23427.56,46855.12
120030,2009,12228.0,24456.0
120030,2010,35940.0,71880.0
120030,2011,19280.0,38560.0
120030,2012,281376.12,562752.24
120030,2013,4956633.919999999,9913267.839999998
120030,2014,5010016.639999999,10020033.279999997
120030,2015,2816215.76,5632431.52
120030,2016,633266.12,1266532.24
120030,2017,183084.36,366168.72
120030,2018,83999.95999999999,167999.91999999998
120030,2019,30653.16,61306.32
120030,2020,90959.96,181919.92
120030,2021,103577.6,207155.2
120030,2022,0.0,0.0
120030,2023,155442.44,310884.88
120030,2024,95046.16,190092.32
120033,2009,57160.0,114320.0
120033,2010,55180.0,110360.0
120033,2011,0.0,0.0
120033,2012,52932.16,105864.32
120033,2013,0.0,0.0
120033,2024,0.0,0.0
120034,2009,145556.0,291112.0
120034,2010,328360.0,656720.0
120034,2011,66632.0,133264.0
120034,2012,268485.60000000003,536971.2000000001
120034,2013,1511856.0399999998,3023712.0799999996
120034,2014,641483.32,1282966.64
120034,2015,63999.96,127999.92
120034,2016,0.0,0.0
120034,2019,0.0,0.0
120034,2020,0.0,0.0
120038,2009,40140.0,80280.0
120038,2010,48140.0,96280.0
120038,2012,0.0,0.0
120038,2013,59765.72,119531.44
120038,2014,63999.96,127999.92
120038,2017,0.0,0.0
120038,2024,0.0,0.0
120039,2013,28274.640000000007,56549.28000000001
120040,2009,8892753.36,17785506.72
120040,2010,27472852.0,54945704.0
120040,2011,6149016.0,12298032.0
120040,2012,4273246.600000001,8546493.200000001
120040,2013,4380562.079999999,8761124.159999998
120040,2014,2557418.76,5114837.52
120040,2015,2894641.84,5789283.68
120040,2016,1525916.28,3051832.56
120040,2017,2143029.72,4286059.44
120040,2018,5561511.919999999,11123023.839999998
120040,2019,1668427.52,3336855.04
120040,2020,1367711.0799999998,2735422.1599999997
120040,2021,2388706.8800000004,4777413.760000001
120040,2022,336616.08,673232.16
120040,2023,1353564.0399999998,2707128.0799999996
120040,2024,2572365.64,5144731.28
120040,2025,1946581.96,3893163.92
120042,2009,109904.0,219808.0
120042,2011,8000.0,16000.0
120042,2012,252802.8,505605.6
120042,2014,158409.56,316819.12
120042,2015,200319.56,400639.12
120045,2009,195920.0,391840.0
120045,2010,80280.0,160560.0
120045,2012,182796.48,365592.96
120045,2013,127999.92,255999.84
120045,2014,220830.24,441660.48
120045,2015,172089.36,344178.72
120045,2022,0.0,0.0
120045,2023,0.0,0.0
120045,2024,0.0,0.0
120050,2009,277244.0,554488.0
120050,2010,242240.0,484480.0
120050,2011,0.0,0.0
120050,2012,831172.0000000001,1662344.0000000002
120050,2013,1580230.4399999997,3160460.8799999994
120050,2014,1431980.96,2863961.92
120050,2015,2916552.08,5833104.16
120050,2016,1160767.1599999997,2321534.3199999994
120050,2017,1574783.0400000005,3149566.080000001
120050,2018,582522.9600000001,1165045.9200000002
120050,2019,1012352.56,2024705.12
120050,2020,408757.32,817514.64
120050,2021,38043.96000000001,76087.92000000001
120050,2022,0.0,0.0
120050,2023,3340.0,6680.0
120050,2024,0.0,0.0
