"code_weighting","estabs10","estabs21"
"2100550001001",52,65
"2100600003001",392,273
"2100709001001",138,150
"2100832001001",51,73
"2100873001001",45,57
"2100907003001",221,312
"2100956001001",225,210
"2101004001001",316,344
"2101103001001",40,70
"2101251001001",140,247
"2101301001001",118,72
"2101350001001",33,28
"2101509001001",175,260
"2101731001001",20,50
"2101772001001",49,97
"2101806001001",31,44
"2101905001001",123,146
"2101939001001",40,56
"2101970001001",38,59
"2102036001001",213,308
"2102077001001",62,97
"2102101001001",381,525
"2102150001001",22,33
"2102200001001",146,207
"2102309001001",247,229
"2102358001001",77,94
"2102374001001",31,40
"2102408001001",47,32
"2102507001001",89,58
"2102556001001",229,169
"2102606001001",112,100
"2102705001001",120,182
"2102754001001",59,110
"2102804001001",372,617
"2102903001001",270,202
"2103109001001",60,40
"2103125001001",46,41
"2103158001001",63,49
"2103174001001",121,90
"2103257001001",213,204
"2103554001001",53,39
"2103752001001",107,129
"2103802001001",467,426
"2103901001001",19,84
"2104008001001",232,190
"2104073001001",40,79
"2104081001001",29,39
"2104099001001",76,240
"2104107001001",223,316
"2104206001001",129,186
"2104305001001",58,75
"2104404001001",102,99
"2104503001001",88,64
"2104552001001",185,254
"2104602001001",84,90
"2104628001001",52,74
"2104651001001",70,59
"2104677001001",241,269
"2104701001001",32,49
"2104909001001",69,55
"2105005001001",78,104
"2105104001001",62,68
"2105153001001",78,86
"2105203001001",91,102
"2105427001001",423,504
"2105450001001",17,20
"2105500001001",226,206
"2105609001001",84,82
"2105658001001",30,41
"2105807001001",78,85
"2105906001001",81,80
"2105922001001",56,67
"2105948001001",56,145
"2105963001001",97,139
"2105989001001",87,98
"2106003001001",121,185
"2106102001001",138,142
"2106201001001",32,40
"2106300001001",209,204
"2106326001001",216,296
"2106359001001",15,39
"2106375001001",69,52
"2106508001001",246,244
"2106607001001",130,182
"2106631001001",45,50
"2106672001001",21,33
"2106706001001",172,148
"2106755001001",187,205
"2106805001001",239,97
"2106904001001",133,172
"2107001001001",131,76
"2107100001001",104,141
"2107209001001",65,74
"2107258001001",50,61
"2107308001001",22,31
"2107357001001",115,130
"2107407001001",141,152
"2107456001001",74,59
"2107605001001",73,92
"2107704001001",271,210
"2107902001001",238,205
"2108009001001",121,283
"2108058001001",75,156
"2108108001001",154,185
"2108256001001",146,123
"2108306001001",131,158
"2108405001001",41,40
"2108454001001",208,210
"2108504001001",239,287
"2108702001001",265,208
"2108801001001",79,96
"2108900001001",161,160
"2109007001001",671,512
"2109056001001",26,21
"2109205001001",26,53
"2109239001001",74,74
"2109270001001",85,119
"2109304001001",65,75
"2109403001001",25,36
"2109452001001",303,375
"2109502001001",261,329
"2109551001001",85,88
"2109700001001",74,106
"2109759001001",77,129
"2110039001001",263,304
"2110104001001",119,192
"2110203003001",202,314
"2110237001001",79,63
"2110278001001",34,87
"2110302001001",98,207
"2110401001001",105,154
"2110609001001",438,603
"2110658001001",66,113
"2110807001001",27,56
"2110856001001",73,94
"2110906001001",40,72
"2111003001001",79,70
"2111029001001",41,70
"2111052001001",168,128
"2111078001001",97,135
"2111102001001",545,509
"2111250001001",34,57
"2111409001001",169,121
"2111532001001",94,88
"2111573001001",64,106
"2111607001001",360,358
"2111631001001",31,22
"2111672001001",16,24
"2111706001001",159,141
"2111722001001",28,69
"2111748001001",29,42
"2111763001001",218,252
"2111789001001",47,63
"2111805001001",157,147
"2111904001001",65,92
"2111953001001",44,44
"2112001001001",105,183
"2112100001001",173,155
"2112233001001",182,320
"2112274001001",48,31
"2112407001001",174,149
"2112456001001",50,78
"2112605001001",246,349
"2112852001001",88,110
"2112902001001",206,219
"2113009001001",320,347
"2211001003011",2167,2294
"2211001003010",1327,1528
"2211001003013",398,455
"2211001003012",6475,6369
"2211001003015",503,424
"2211001003014",429,567
"2211001003016",3244,5915
"2205508003001",215,302
"2205508003002",230,331
"2200400003001",404,655
"2200400003002",80,112
"2201960001001",58,88
"2207009003001",235,268
"2207009003002",582,686
"2208304001001",557,758
"2207702003001",815,782
"2207702003003",413,334
"2207702003002",1663,2197
"2207702003005",237,384
"2207702003004",710,955
"2201200003002",342,353
"2201200003001",261,236
"2208403003002",905,945
"2208403003001",323,458
"2208403003003",100,157
"2202208003001",54,200
"2202208003002",907,1135
"2210607003001",39,58
"2210607003002",886,1214
"2203909003002",1036,1153
"2203909003001",909,1233
"2207900003001",501,552
"2207900003002",181,252
"2201804001001",46,55
"2211100003002",504,699
"2211100003001",43,69
"2208007003002",845,765
"2208007003001",579,1001
"2208007003003",1260,2159
"2209401001001",92,76
"2203701003002",482,547
"2203701003001",183,239
"2211001003002",228,726
"2211001003001",1743,2525
"2211001003004",111,246
"2211001003003",347,709
"2211001003006",1612,2318
"2211001003005",1172,1556
"2211001003008",258,495
"2211001003007",1811,2667
"2211001003009",1935,1843
"2200053001001",77,97
"2200103001001",44,57
"2200202001001",305,511
"2200251001001",89,89
"2200277001001",59,76
"2200301001001",97,151
"2200459001001",78,64
"2200509001001",233,313
"2200608001001",128,84
"2200707001001",158,241
"2200806001001",49,70
"2200905001001",66,64
"2200954001001",16,18
"2201002001001",71,74
"2201051001001",54,38
"2201101001001",159,148
"2201150001001",255,454
"2201176001001",52,51
"2201309001001",40,44
"2201408001001",76,78
"2201507001001",380,437
"2201556001001",67,73
"2201572001001",27,75
"2201606001001",110,143
"2201705001001",79,105
"2201739001001",58,128
"2201770001001",29,48
"2201903001001",738,1108
"2201919001001",40,72
"2201929001001",61,77
"2201945001001",49,60
"2201988001001",35,44
"2202000001001",125,107
"2202026001001",102,104
"2202059001001",78,80
"2202075001001",36,36
"2202083001001",67,240
"2202091001001",58,75
"2202109001001",94,55
"2202117001001",48,85
"2202133001001",74,111
"2202174001001",36,45
"2202251001001",38,36
"2202307001001",490,410
"2202406001001",95,140
"2202455001001",55,62
"2202505001001",128,151
"2202539001001",37,55
"2202554001001",53,99
"2202604001001",353,302
"2202653001001",119,179
"2202703001001",282,481
"2202711001001",54,65
"2202729001001",38,63
"2202737001001",30,40
"2202752001001",138,146
"2202778001001",92,59
"2202802001001",71,75
"2202851001001",39,51
"2202901001001",582,639
"2203008001001",60,67
"2203107001001",289,200
"2203206001001",213,223
"2203230001001",44,64
"2203255001001",41,42
"2203271001001",42,50
"2203305001001",181,240
"2203354001001",89,73
"2203404001001",84,135
"2203420001001",24,32
"2203453001001",108,131
"2203503001001",212,196
"2203602001001",120,103
"2203750001001",41,42
"2203800001001",40,56
"2203859001001",33,28
"2204006001001",41,41
"2204105001001",53,48
"2204154001001",41,50
"2204204001001",100,148
"2204303001001",196,174
"2204352001001",45,64
"2204402001001",177,129
"2204501001001",172,207
"2204550001001",35,69
"2204600001001",24,37
"2204659001001",92,81
"2204709001001",191,209
"2204808001001",126,126
"2204907001001",75,72
"2205003001001",118,139
"2205102001001",259,223
"2205151001001",72,124
"2205201001001",242,338
"2205250001001",23,40
"2205276001001",42,46
"2205300001001",53,67
"2205359001001",53,39
"2205409001001",172,160
"2205458001001",27,42
"2205516001001",61,52
"2205524001001",37,74
"2205532001001",44,54
"2205540001001",19,24
"2205557001001",97,118
"2205565001001",65,83
"2205573001001",61,56
"2205581001001",30,51
"2205599001001",61,51
"2205607001001",90,92
"2205706001001",444,491
"2205805001001",404,550
"2205854001001",60,60
"2205904001001",115,72
"2205953001001",118,195
"2206001001001",64,82
"2206050001001",34,54
"2206100001001",86,151
"2206209001001",146,210
"2206308001001",16,24
"2206357001001",74,60
"2206407001001",137,142
"2206506001001",82,106
"2206605001001",123,107
"2206654001001",29,35
"2206670001001",42,67
"2206696001001",39,52
