sector;concurb_name;participation
Business;PARINTINS;0,009153993798907427
Business;PARNAIBA;0,020605026576547017
Business;PASSO FUNDO;0,07855397032910817
Business;PASSOS;0,03965437432494985
Business;PATOS;0,05654668753260302
Business;PATOS DE MINAS;0,07181976967938661
Business;PAULO AFONSO;0,06112016595051119
Business;PELOTAS;0,10026919730258864
Business;PETROLINA;0,05180352550028229
Business;PETROPOLIS;0,11843179961884018
Business;PIRACICABA;0,08815139711069535
Business;POCOS DE CALDAS;0,07495417204155068
Business;PONTA GROSSA;0,09193839000290613
Business;PORTO ALEGRE;0,14458444678934582
Business;PORTO SEGURO;0,09891002963954489
Business;PORTO VELHO;0,0750031004157253
Business;POUSO ALEGRE;0,08579245651749072
Business;PRESIDENTE PRUDENTE;0,061856696578590366
Business;RECIFE;0,17698330523608058
Business;RESENDE;0,06493065270394499
Business;RIBEIRAO PRETO;0,13870033367669457
Business;RIO BRANCO;0,07387794439205364
Business;RIO CLARO;0,096045197740113
Business;RIO DE JANEIRO;0,19183917405534218
Business;RIO GRANDE;0,07940888677020348
Business;RIO VERDE;0,04775861341879981
Business;RONDONOPOLIS;0,061246650032344516
Business;SALVADOR;0,18365817369935378
Business;SANTA CRUZ DO SUL;0,09366693491355134
Business;SANTA MARIA;0,1076162547130289
Business;SANTAREM;0,03541916167664671
Business;SAO BENTO DO SUL - RIO NEGRINHO;0,04253677742012716
Business;SAO CARLOS;0,09977263608399091
Business;SAO JOAO DEL REI;0,03138467303728686
Business;SAO JOSE DO RIO PRETO;0,09243508809001823
Business;SAO JOSE DOS CAMPOS;0,1653639934033558
Business;SAO LUIS;0,11312872028160119
Business;SAO MATEUS;0,055092637976668954
Business;SAO PAULO;0,20670800893968622
Business;SAO ROQUE - MAIRINQUE;0,08428124284296512
Business;SERTAOZINHO;0,05067335735117516
Business;SETE LAGOAS;0,0797071763176175
Business;SINOP;0,06314329513103147
Business;SOBRAL;0,025107587508342345
Business;SOROCABA;0,12818858184026724
Business;TAQUARA - PAROBE - IGREJINHA;0,04755392310096905
Business;TATUI;0,07836244851583582
Business;TEIXEIRA DE FREITAS;0,04180456366486675
Business;TEOFILO OTONI;0,03924579814009044
Business;TERESINA;0,08778266271256198
Business;TERESOPOLIS;0,1292179802955665
Business;TOLEDO;0,05368958028183241
Business;TRAMANDAI - OSORIO;0,04086349331235248
Business;TRES LAGOAS;0,08314844162704702
Business;TRES RIOS - PARAIBA DO SUL;0,14599953073674332
Business;TUBARAO - LAGUNA;0,06933629211216462
Business;UBA;0,03448989446092295
Business;UBERABA;0,06958255360266148
Business;UBERLANDIA;0,16910581522835993
Business;UMUARAMA;0,0456048801999118
Business;VARGINHA;0,08353788471394276
Business;VITORIA;0,15209546029120305
Business;VITORIA DA CONQUISTA;0,04019984763389614
Business;VITORIA DE SANTO ANTAO;0,014824556159961743
Business;VOLTA REDONDA - BARRA MANSA;0,09832022397013732
Construction;ABAETETUBA;0,019204389574759947
Construction;ACAILANDIA;0,08120598591549295
Construction;ALAGOINHAS;0,03545179420665802
Construction;AMERICANA - SANTA BARBARA D'OESTE;0,02909902111878171
Construction;ANAPOLIS;0,08234019501625135
Construction;ANGRA DOS REIS;0,11388038672691056
Construction;APUCARANA;0,03636041149343739
Construction;ARACAJU;0,0972497537004285
Construction;ARACATUBA;0,041432357313683665
Construction;ARAGUAINA;0,05509763124199744
Construction;ARAGUARI;0,0698022912940494
Construction;ARAPIRACA;0,025105856784202046
Construction;ARAPONGAS;0,018885265342425142
Construction;ARARAQUARA;0,05857902488953242
Construction;ARARAS;0,04202685048781166
Construction;ARARUAMA;0,09875992063492063
Construction;ATIBAIA;0,030398403316189454
Construction;BACABAL;0,008593620889109237
Construction;BAGE;0,04862110065348732
Construction;BAIXADA SANTISTA;0,07077658975801913
Construction;BARBACENA;0,033563636363636365
Construction;BARREIRAS;0,027116723328476606
Construction;BARRETOS;0,09422114887010523
Construction;BAURU;0,11686588115189928
Construction;BELEM;0,06767034821225916
Construction;BELO HORIZONTE;0,08976734324675338
Construction;BENTO GONCALVES;0,03859907776279055
Construction;BIRIGUI;0,026234956442922605
Construction;BLUMENAU;0,04868149506993808
Construction;BOA VISTA;0,08158834452221111
Construction;BOTUCATU;0,02732400361836854
Construction;BRAGANCA;0,019734345351043642
Construction;BRAGANCA PAULISTA;0,03025683427213064
Construction;BRASILIA;0,06354718904371871
Construction;BRUSQUE;0,031576769728428496
Construction;CABO FRIO;0,04035615171137835
Construction;CACHOEIRO DE ITAPEMIRIM;0,030640107430617725
Construction;CAMETA;0,0017408123791102514
Construction;CAMPINA GRANDE;0,05836462098085313
Construction;CAMPINAS;0,049930187098575815
Construction;CAMPO GRANDE;0,0739008049775167
Construction;CAMPOS DOS GOYTACAZES;0,10590708829464654
Construction;CARAGUATATUBA - UBATUBA - SAO SEBASTIAO;0,10453110333646215
Construction;CARUARU;0,0367166934463779
Construction;CASCAVEL;0,0732489470534434
Construction;CASTANHAL;0,08348678039120314
Construction;CATALAO;0,04738899380736967
Construction;CATANDUVA;0,02980991126020032
Construction;CAXIAS;0,03181932667282344
Construction;CAXIAS DO SUL;0,03385819974712982
Construction;CHAPECO;0,0837342366705571
Construction;CODO;0,016002370721588385
Construction;COLATINA;0,054417272526988324
Construction;CONSELHEIRO LAFAIETE;0,09042672598518398
Construction;CRICIUMA;0,04427843556780475
Construction;CUIABA;0,07677305938581552
Construction;CURITIBA;0,06266617073741923
Construction;DIVINOPOLIS;0,035626557979584784
Construction;DOURADOS;0,03621683967704729
Construction;EUNAPOLIS;0,03650834403080873
Construction;FEIRA DE SANTANA;0,12091931013242993
Construction;FLORIANOPOLIS;0,05782498277794343
Construction;FORMOSA;0,020233525271912987
Construction;FORTALEZA;0,07555692174994208
Construction;FRANCA;0,0318681068270896
Construction;GARANHUNS;0,04652894100130281
Construction;GOIANIA;0,07876287127934838
Construction;GOVERNADOR VALADARES;0,0527772582756686
Construction;GUARAPARI;0,08906069581806315
Construction;GUARAPUAVA;0,06855038205706118
Construction;GUARATINGUETA;0,05258899676375405
Construction;ILHEUS;0,025479567658801
Construction;IMPERATRIZ;0,0778728777886909
Construction;INDAIATUBA;0,07061723621248006
Construction;INTERNACIONAL DE CORUMBA;0,04328807589615406
Construction;INTERNACIONAL DE FOZ DO IGUACU;0,048727948003714015
Construction;INTERNACIONAL DE PEDRO JUAN CABALLERO;0,014636591478696741
Construction;INTERNACIONAL DE SANT'ANA DO LIVRAMENTO;0,02542226818338504
Construction;INTERNACIONAL DE URUGUAIANA;0,03576517526360787
Construction;IPATINGA;0,11270546077744022
Construction;ITABIRA;0,10819020581973031
Construction;ITABUNA;0,05167369974370259
Construction;ITAJAI - BALNEARIO CAMBORIU;0,0656300357867861
