isic_12,num_emp,med_eco,mun_code
Utilities,27,253.8896696139857,1303809
Utilities,9,15.827964795918367,1303908
Utilities,8,837.9587258698687,1303957
Utilities,9,135.77975730999864,1304005
Manufacturing,19,32.26627722222222,3552700
Utilities,18,761.4958705408218,3552700
Utilities,8,761.2132451880266,1304104
Utilities,17,179.0470213776722,1304203
Utilities,9,808.9315357142857,1304237
Utilities,8,70.71105063940156,1304260
Utilities,8,37587.588379500005,1304302
Mining,5,349.3710689655172,1304302
Utilities,18,161.91065600000002,1304401
Manufacturing,6,105.222052871168,2900405
Manufacturing,105,161.7983777191574,2900702
Trade,4,594.8819350278551,2900702
Business,5,11.31866874674987,2900702
Construction,11,464.0108522875817,2900702
Mining,23,239.25157415314547,2900702
Trade,5,52.64033612804878,2900801
Manufacturing,10,2443.347209111316,2901007
Manufacturing,34,328.571561654426,2901106
Agriculture,4,3791.8029941518826,2901106
Mining,7,48.33018882387341,2901353
Mining,4,1249.5212627737226,2902054
Manufacturing,7,58.382506527415146,2902401
Manufacturing,10,87.94264791590518,2902708
Utilities,3,83.57110954395863,2902906
Manufacturing,105,161.53679223404257,2903201
Trade,13,38.92851999738168,2903201
Business,9,24.60441830896376,2903201
Construction,7,1.4693705399061032,2903201
Agriculture,12,24.07923425866852,2903201
Mining,11,277.31492828134446,2903201
Mining,23,2368.4329798542685,2903276
Trade,3,3.654292732394366,2903409
Transport,5,190.20076408679847,2903409
Mining,6,211.51648932355047,2903409
Manufacturing,4,39.40170581842105,2903508
Manufacturing,22,499.2220527821113,2903904
Mining,12,1638.980363569832,2904100
Manufacturing,40,108.2515368852459,2904605
Trade,3,107.13464705882352,2904605
Construction,7,5241.927841496792,2904605
Mining,84,226.28022904411765,2904605
Manufacturing,34,157.05897437840832,2904902
Manufacturing,23,759.895567282322,2905008
Mining,6,13.315246683192438,2905008
Manufacturing,50,163.8306682631579,2905206
Trade,3,924384.4375673408,2905206
Mining,13,1275.0527042253525,2905206
Manufacturing,913,309.3111618661844,2905701
Utilities,75,88.44543565243356,2905701
Trade,3,485.9950978378379,2905701
Construction,7,7.395172958333333,2905701
Transport,6,24041.208590915285,2905701
