month,class_range,count
2015-03-01,25-29,1858
2015-03-01,35-39,2688
2015-03-01,60-64,1287
2015-03-01,45-49,2041
2015-03-01,55-59,1464
2015-03-01,70-74,231
2015-03-01,20-24,515
2015-03-01,75-79,104
2015-03-01,30-34,1890
2015-03-01,40-44,1603
2015-03-01,65-69,1193
2015-04-01,20-24,508
2015-04-01,30-34,1894
2015-04-01,25-29,1836
2015-04-01,60-64,1296
2015-04-01,50-54,1084
2015-04-01,45-49,2013
2015-04-01,15-19,131
2015-04-01,75-79,107
2015-04-01,35-39,2676
2015-04-01,70-74,246
2015-04-01,65-69,1193
2015-04-01,40-44,1624
2015-04-01,55-59,1454
2015-05-01,30-34,1918
2015-05-01,65-69,1204
2015-05-01,70-74,264
2015-05-01,20-24,504
2015-05-01,15-19,129
2015-05-01,55-59,1467
2015-05-01,45-49,1971
2015-05-01,75-79,111
2015-05-01,40-44,1672
2015-05-01,35-39,2660
2015-05-01,50-54,1092
2015-05-01,60-64,1286
2015-05-01,25-29,1796
2015-06-01,30-34,1928
2015-06-01,15-19,126
2015-06-01,25-29,1759
2015-06-01,50-54,1136
2015-06-01,70-74,279
2015-06-01,55-59,1438
2015-06-01,65-69,1209
2015-06-01,40-44,1675
2015-06-01,20-24,493
2015-06-01,60-64,1294
2015-06-01,75-79,116
2015-06-01,35-39,2664
2015-06-01,45-49,1967
2015-07-01,60-64,1292
2015-07-01,50-54,1144
2015-07-01,55-59,1435
2015-07-01,45-49,1982
2015-07-01,30-34,1928
2015-07-01,15-19,125
2015-07-01,40-44,1682
2015-07-01,65-69,1215
2015-07-01,20-24,487
2015-07-01,75-79,118
2015-07-01,35-39,2652
2015-07-01,70-74,302
2015-07-01,25-29,1730
2015-08-01,30-34,1973
2015-08-01,20-24,481
2015-08-01,45-49,1994
2015-08-01,55-59,1431
2015-08-01,35-39,2610
2015-08-01,75-79,115
2015-08-01,65-69,1223
2015-08-01,25-29,1709
2015-08-01,15-19,123
2015-08-01,40-44,1692
2015-08-01,50-54,1162
2015-08-01,60-64,1292
2015-08-01,70-74,303
2015-09-01,70-74,324
2015-09-01,15-19,121
2015-09-01,40-44,1722
2015-09-01,20-24,472
2015-09-01,75-79,116
2015-09-01,50-54,1162
2015-09-01,35-39,2607
2015-09-01,60-64,1290
2015-09-01,55-59,1437
2015-09-01,25-29,1706
2015-09-01,65-69,1226
2015-09-01,45-49,1971
2015-09-01,30-34,1957
2015-10-01,70-74,350
2015-10-01,55-59,1429
2015-10-01,25-29,1696
2015-10-01,60-64,1287
2015-10-01,20-24,463
2015-10-01,40-44,1718
2015-10-01,30-34,1949
2015-10-01,65-69,1221
2015-10-01,35-39,2611
2015-10-01,75-79,114
2015-10-01,45-49,1966
2015-10-01,15-19,120
2015-10-01,50-54,1185
2015-11-01,50-54,1201
2015-11-01,15-19,124
2015-11-01,35-39,2595
2015-11-01,60-64,1282
2015-11-01,25-29,1674
2015-11-01,45-49,1971
2015-11-01,40-44,1730
2015-11-01,70-74,350
2015-11-01,55-59,1435
2015-11-01,30-34,1957
2015-11-01,65-69,1231
2015-11-01,20-24,453
2015-11-01,75-79,114
2015-12-01,55-59,1424
2015-12-01,35-39,2590
2015-12-01,60-64,1321
2015-12-01,15-19,121
2015-12-01,70-74,370
2015-12-01,40-44,1735
2015-12-01,65-69,1209
2015-12-01,75-79,114
2015-12-01,50-54,1215
2015-12-01,30-34,1954
2015-12-01,45-49,1976
2015-12-01,25-29,1645
2015-12-01,20-24,452
2016-01-01,35-39,2592
2016-01-01,30-34,1951
2016-01-01,60-64,1309
2016-01-01,25-29,1611
2016-01-01,15-19,121
2016-01-01,50-54,1233
2016-01-01,55-59,1442
2016-01-01,45-49,1977
2016-01-01,20-24,449
2016-01-01,70-74,388
2016-01-01,65-69,1203
2016-01-01,40-44,1742
2016-01-01,75-79,121
2016-02-01,20-24,430
2016-02-01,35-39,2574
2016-02-01,25-29,1598
2016-02-01,50-54,1253
2016-02-01,60-64,1315
2016-02-01,65-69,1204
2016-02-01,15-19,120
2016-02-01,40-44,1788
2016-02-01,70-74,405
2016-02-01,75-79,121
2016-02-01,30-34,1952
2016-02-01,45-49,1963
2016-02-01,55-59,1419
2016-03-01,75-79,127
2016-03-01,15-19,124
2016-03-01,65-69,1216
2016-03-01,55-59,1414
2016-03-01,40-44,1792
2016-03-01,20-24,417
2016-03-01,60-64,1319
2016-03-01,30-34,1946
2016-03-01,70-74,415
2016-03-01,45-49,1972
2016-03-01,35-39,2564
2016-03-01,50-54,1265
2016-03-01,25-29,1582
2016-04-01,20-24,397
2016-04-01,30-34,1939
2016-04-01,35-39,2573
2016-04-01,75-79,123
2016-04-01,50-54,1275
2016-04-01,60-64,1311
2016-04-01,65-69,1221
2016-04-01,45-49,1966
2016-04-01,70-74,442
2016-04-01,55-59,1425
2016-04-01,15-19,121
2016-04-01,40-44,1807
2016-04-01,25-29,1558
2016-05-01,40-44,1849
2016-05-01,30-34,1936
2016-05-01,65-69,1231
2016-05-01,45-49,1952
2016-05-01,75-79,118
2016-05-01,20-24,399
2016-05-01,60-64,1312
2016-05-01,50-54,1290
2016-05-01,25-29,1526
2016-05-01,70-74,457
2016-05-01,15-19,121
2016-05-01,35-39,2543
2016-05-01,55-59,1428
2016-06-01,35-39,2537
2016-06-01,70-74,473
2016-06-01,65-69,1234
2016-06-01,75-79,124
2016-06-01,15-19,122
2016-06-01,30-34,1930
2016-06-01,60-64,1308
2016-06-01,25-29,1504
2016-06-01,50-54,1287
2016-06-01,20-24,387
2016-06-01,40-44,1865
2016-06-01,45-49,1955
2016-06-01,55-59,1445
2016-07-01,30-34,1915
2016-07-01,60-64,1335
2016-07-01,55-59,1448
2016-07-01,45-49,1958
2016-07-01,20-24,385
2016-07-01,40-44,1881
2016-07-01,50-54,1298
