month,class_range,count
2029-09-01,55-59,1489
2029-09-01,45-49,1931
2029-09-01,35-39,763
2029-09-01,65-69,1153
2029-09-01,70-74,1293
2029-09-01,20-24,761
2029-09-01,15-19,509
2029-09-01,30-34,613
2029-10-01,30-34,615
2029-10-01,50-54,2392
2029-10-01,60-64,1781
2029-10-01,40-44,1745
2029-10-01,20-24,764
2029-10-01,70-74,1271
2029-10-01,75-79,918
2029-10-01,15-19,511
2029-10-01,25-29,684
2029-10-01,35-39,768
2029-10-01,65-69,1154
2029-10-01,55-59,1490
2029-10-01,45-49,1876
2029-11-01,15-19,517
2029-11-01,60-64,1810
2029-11-01,70-74,1277
2029-11-01,40-44,1766
2029-11-01,75-79,941
2029-11-01,65-69,1128
2029-11-01,30-34,622
2029-11-01,25-29,692
2029-11-01,50-54,2438
2029-11-01,20-24,770
2029-11-01,35-39,766
2029-11-01,45-49,1833
2029-11-01,55-59,1416
2029-12-01,45-49,1784
2029-12-01,40-44,1778
2029-12-01,50-54,2493
2029-12-01,75-79,920
2029-12-01,55-59,1421
2029-12-01,20-24,791
2029-12-01,15-19,506
2029-12-01,25-29,702
2029-12-01,70-74,1274
2029-12-01,30-34,625
2029-12-01,65-69,1106
2029-12-01,35-39,776
2029-12-01,60-64,1815
2030-01-01,70-74,1249
2030-01-01,55-59,1380
2030-01-01,25-29,702
2030-01-01,65-69,1105
2030-01-01,35-39,781
2030-01-01,60-64,1859
2030-01-01,15-19,500
2030-01-01,75-79,942
2030-01-01,40-44,1758
2030-01-01,20-24,790
2030-01-01,45-49,1778
2030-01-01,50-54,2534
2030-01-01,30-34,619
2030-02-01,60-64,1898
2030-02-01,25-29,712
2030-02-01,70-74,1258
2030-02-01,15-19,491
2030-02-01,30-34,615
2030-02-01,65-69,1073
2030-02-01,55-59,1378
2030-02-01,40-44,1727
2030-02-01,75-79,934
2030-02-01,45-49,1786
2030-02-01,20-24,791
2030-02-01,35-39,766
2030-02-01,50-54,2541
2030-03-01,65-69,1077
2030-03-01,30-34,601
2030-03-01,55-59,1382
2030-03-01,35-39,781
2030-03-01,20-24,803
2030-03-01,25-29,719
2030-03-01,70-74,1264
2030-03-01,15-19,478
2030-03-01,40-44,1704
2030-03-01,75-79,963
2030-03-01,45-49,1767
2030-03-01,60-64,1902
2030-03-01,50-54,2538
2030-04-01,40-44,1690
2030-04-01,15-19,481
2030-04-01,20-24,799
2030-04-01,50-54,2529
2030-04-01,70-74,1288
2030-04-01,35-39,782
2030-04-01,25-29,721
2030-04-01,60-64,1900
2030-04-01,55-59,1396
2030-04-01,75-79,963
2030-04-01,45-49,1762
2030-04-01,30-34,612
2030-04-01,65-69,1055
2030-05-01,40-44,1673
2030-05-01,35-39,786
2030-05-01,30-34,616
2030-05-01,60-64,1856
2030-05-01,75-79,931
2030-05-01,45-49,1778
2030-05-01,55-59,1456
2030-05-01,50-54,2496
2030-05-01,20-24,796
2030-05-01,65-69,1063
2030-05-01,25-29,720
2030-05-01,70-74,1298
2030-05-01,15-19,478
2030-06-01,45-49,1782
2030-06-01,35-39,781
2030-06-01,30-34,616
2030-06-01,70-74,1297
2030-06-01,40-44,1647
2030-06-01,15-19,470
2030-06-01,50-54,2501
2030-06-01,20-24,798
2030-06-01,75-79,899
2030-06-01,25-29,716
2030-06-01,65-69,1064
2030-06-01,55-59,1463
2030-06-01,60-64,1891
2030-07-01,75-79,892
2030-07-01,25-29,715
2030-07-01,70-74,1275
2030-07-01,55-59,1467
2030-07-01,45-49,1783
2030-07-01,20-24,812
2030-07-01,50-54,2456
2030-07-01,40-44,1629
2030-07-01,35-39,784
2030-07-01,60-64,1910
2030-07-01,65-69,1075
2030-07-01,30-34,635
2030-07-01,15-19,480
2030-08-01,55-59,1516
2030-08-01,20-24,820
2030-08-01,15-19,463
2030-08-01,75-79,899
2030-08-01,65-69,1056
2030-08-01,60-64,1910
2030-08-01,30-34,640
2030-08-01,40-44,1609
2030-08-01,35-39,778
2030-08-01,70-74,1265
2030-08-01,25-29,709
2030-08-01,50-54,2411
2030-08-01,45-49,1818
2030-09-01,75-79,902
2030-09-01,15-19,456
2030-09-01,35-39,771
2030-09-01,55-59,1565
2030-09-01,45-49,1804
2030-09-01,30-34,652
2030-09-01,65-69,1083
2030-09-01,40-44,1593
2030-09-01,20-24,816
2030-09-01,60-64,1856
2030-09-01,50-54,2405
2030-09-01,25-29,705
2030-09-01,70-74,1261
2030-10-01,50-54,2411
2030-10-01,45-49,1792
2030-10-01,75-79,918
2030-10-01,30-34,653
2030-10-01,65-69,1088
2030-10-01,60-64,1810
2030-10-01,25-29,709
2030-10-01,70-74,1277
2030-10-01,20-24,837
2030-10-01,15-19,449
2030-10-01,40-44,1586
2030-10-01,35-39,772
2030-10-01,55-59,1609
2030-11-01,55-59,1619
2030-11-01,45-49,1801
2030-11-01,50-54,2406
2030-11-01,40-44,1564
2030-11-01,30-34,660
2030-11-01,65-69,1102
2030-11-01,15-19,441
2030-11-01,20-24,848
2030-11-01,60-64,1805
2030-11-01,25-29,708
2030-11-01,70-74,1241
2030-11-01,35-39,772
2030-11-01,75-79,944
